movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Zaalim,not-released,4.4,597,"['Action', 'Drama']","Judge Somnath lives with his wife, three sons, and a daughter. Two of his sons, Vikram and Mohan are married, while his daughter, Kaamna, and youngest son, Ravi, are of marriageable age. Somnath had wanted his sons to be a doctor, police officer, and a Judge. While Vikram is a su... Read all","['child murders a child', 'martial arts', 'father son relationship', 'doctor', 'police officer', 'gang war', 'taunting', 'kickboxing', 'rape victim', 'court']",Sikander Bharti,"['Akshay Kumar', 'Madhoo', 'Vishnuvardhan', 'Sikander Bharti', 'Madan Joshi']",Madan Joshi,-1994,/title/tt0290940/
Thamizhan,not-released,5.9,1.9K,"['Action', 'Drama']",A carefree young man who works as junior lawyer turns into an honest lawyer to avenge his sister and brother-in-law by punishing the villains without taking the law in his own hands.,"['forgiveness', 'lawyer', 'death of sister', 'angry mob', 'watching tv', 'court', 'crowd', 'gun', 'knife']",A. Majid,"['A. Majid', 'Thalapathy Vijay', 'Priyanka Chopra Jonas', 'Nassar', 'A. Majid']",S.A. Chandrashekhar,-2002,/title/tt0330977/
9MM,not-released,no-rating,0,"['Action', 'Thriller']",,[],Dhinil Babu,"['Dileesh Pothan', 'Manju Warrier', 'Dhyan Sreenivasan', 'Dhinil Babu', 'Dhyan Sreenivasan']",Dhyan Sreenivasan,,/title/tt13346486/
Dead Meat,not-released,4.7,2.3K,"['Action', 'Comedy', 'Horror']","An infection spreads from slaughtered animals to humans, which causes the dead to rise and feed on the living.","['cow', 'stabbed in the eye', 'blood splatter', 'hit with a shovel', 'hit by a car', 'bitten in the throat', 'zombie', 'zombie child', 'gore', 'decapitation']",Conor McMahon,"['Marian Araujo', 'David Muyllaert', 'Eoin Whelan', 'Conor McMahon', 'Conor McMahon']",Conor McMahon,-2004,/title/tt0369359/
Romeo Vs Juliet,not-released,4.7,255,"['Action', 'Drama', 'Romance']",Romeo is an unruly youth in his local village. He goes to London after seeing his dream girl on Facebook to win her heart.,['dream'],Ashok Pati,"['Sudipto Sarkar', 'Ankush Hazra', 'Mahiya Mahi', 'Nita Mistry', 'Ashok Pati']",Pele,-2015,/title/tt4208710/
For Better or Worse,1 hour 45 minutes,4.8,522,"['Action', 'Comedy', 'Drama']",A comic love triangle wherein a man falls in love with his younger brother's wife.,"['reference to oprah winfrey', 'independent film']",Jason Alexander,"['Jason Alexander', 'Lolita Davidovich', 'James Woods', 'Jason Alexander', 'Jeff Nathanson']",Jeff Nathanson,-1995,/title/tt0116332/
Queen of the Trap House 2: Taking the Throne,not-released,no-rating,0,"['Action', 'Crime', 'Drama']","Kionna has taken full control of her dead boyfriend's drug empire. She has taken the throne to become the official Queen of the Trap House. However, a new man steps into her life causing her to shift focus away from the criminal enterprise. Kionna also begins dealing with new ene... Read all",[],Jeff Profitt,"['Kelsey Delemar', 'Deshawn Long', 'Jeff Profitt', 'Jeff Profitt', 'Jeff Profitt']",Jeff Profitt,-2022,/title/tt13586548/
Agnee 2,not-released,5.3,179,['Action'],A story of revenge where Agnee takes revenge on the people who killed her parents.,['revenge'],Iftakar Chowdhury,"['Josem M Adams', 'Om Goswami', 'Amit Hasan', 'Iftakar Chowdhury', 'Md Amjad Hossen']",Md Amjad Hossen,-2015,/title/tt4833384/
Hard Evidence,not-released,4.5,177,"['Action', 'Drama', 'Thriller']","Trent Turner has it all - a beautiful wife, a fabulous house, and a business he owns with his best friend. He also has a mistress, a mistress who gets him involved with more than he's bargained for. When he goes to Vancouver for the weekend with her, he's shocked to discover she'... Read all","['dea drug enforcement administration', 'vancouver british columbia', 'drugs', 'murder', 'blackmail', 'kingpin', 'courier', 'business', 'drug smuggling', 'double cross']",Michael Kennedy,"['Gregory Harrison', 'Cali Timmins', 'Joan Severance', 'Michael Kennedy', 'William C. Martell']",William C. Martell,-1995,/title/tt0113260/
Blackmark,not-released,4.5,319,"['Action', 'Drama', 'Thriller']","In 1963, military industrialist Arthur Blackmark and a Soviet commander must race against the clock to stop an international nuclear incident which threatens to fire up the Cold War and end the world.","['year 1963', 'nuclear missile', 'cold war', 'ussr', 'conspiracy', 'saving the world', 'military industrial complex', 'military industrialist', 'soviet officer', 'race against the clock']",A.J. Martinson,"['Kaiwi Lyman', 'Jeff Hatch', 'Corey MacIntosh', 'A.J. Martinson', 'A.J. Martinson']",A.J. Martinson,-2018,/title/tt4360924/
Caravan,not-released,6.7,279,"['Action', 'Comedy', 'Musical']","Sunita is a young woman who ends up married to the wrong man, Rajan. Thinking that he has conspired with his girlfriend, Monica to murder her, she runs away to find an old friend of her father's in Bangalore who may be able to help. Having no money, the only way she can get there... Read all","['falling to death', 'truck driver', '1970s', 'runaway bride', 'damsel in distress', 'kidnapped', 'bound and gagged', 'gangsters', 'heiress', 'tied up']",Nasir Hussain,"['Nasir Hussain', 'Asha Parekh', 'Jeetendra', 'Aruna Irani', 'Nasir Hussain']",Sachin Bhowmick,-1971,/title/tt0066888/
