movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Alert 24X7,"['Action', 'Thriller']",,['papadum'],Soujan Josseph,"['Mohan Kapur', 'Anupam Kher', 'Sanjay Dutt', 'Soujan Josseph', 'Dilip Shukla']",Dilip Shukla,/title/tt8161702/
Thunder Alley,"['Action', 'Drama', 'Romance']",Stock car racer Tommy Callahan is forced to join Pete Madsen's thrill circus after his blackouts cause a fatal accident that gets him thrown off the circuit. He shows Pete's daughter Francie and her boyfriend Eddie Sands everything he knows about driving. Eddie takes up with Tomm... Read all,"['cigar smoking', 'psychotronic film', 'whiskey', 'beer', 'carsploitation', 'stunt', 'striptease', 'stock car racing', 'parade', 'love triangle']",Richard Rush,"['Annette Funicello', 'Fabian', 'Diane McBain', 'Richard Rush', 'Sy Salkowitz']",Sy Salkowitz,/title/tt0062365/
Kill Mode,"['Action', 'Sci-Fi']","In a gritty near future, an ex-freedom fighter reluctantly jumps back into the fold after discovering a disturbing secret that could bring down the company that owns the world.",['superhero'],Thijs Meuwese,"['Kris Patmo', 'Dave Mantel', 'Julia Batelaan', 'Yasmin Blake', 'Thijs Meuwese']",Thijs Meuwese,/title/tt8365426/
Vaa Deal,['Action'],"Vetrivel, a young man who believes rising rivalries are essential to succeed in life, finds himself in deep trouble when his girlfriend is abducted by his enemies.",[],Rathina Shiva,"['Karthika Nair', 'Suruli', 'Arun Vijay', 'Rathina Shiva', 'Rathina Shiva']",Rathina Shiva,/title/tt10050150/
She-Devils on Wheels,"['Action', 'Crime', 'Thriller']","An all-female motorcycle gang, called 'The Maneaters' hold motorcycle races, as well as terrorize the residents of a small Florida town, and clash off against an all-male rival gang of hot-riders.","['grindhouse film', 'moped', 'initiation', 'sex party', 'knife fight', 'dragged behind vehicle', 'girl gang', 'biker chick', 'decapitation', 'psychotronic film']",Herschell Gordon Lewis,"['Fred M. Sandy', 'Betty Connell', 'Nancy Lee Noble', 'Christie Wagner', 'Herschell Gordon Lewis']",Louise Downe,/title/tt0063595/
Autobahnraser,"['Comedy', 'Action']","The young policeman Karl-Heinz Krause works undercover to insinuate himself into a group of Autobahn racers. While he gets to like the illegal races, besides he has to chase some people dealing stolen cars.","['one word title', 'undercover', 'truck', 'truck driver', 'police', 'policeman', 'police car', 'lost cap', 'chase', 'car chase']",Michael Keusch,"['Herman Weigel', 'Luke Wilkins', 'Alexandra Neldel', 'Henriette Richter-Röhl', 'Michael Keusch']",Robert Kulzer,/title/tt0391774/
Gumnaami,"['Action', 'Drama', 'History']",Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji Subhas Chandra Bose's death were discussed and debated.,"['journalist', 'based on true story']",Srijit Mukherji,"['Rohini Ghosh', 'Srijit Mukherji', 'Prasenjit Chatterjee', 'Anirban Bhattacharya', 'Tanushree Chakraborty']",Anuj Dhar,/title/tt10834986/
Dossier K.,"['Action', 'Crime', 'Drama']",Vincke and Verstuyft are detectives of the Antwerp police department. This time they have to deal with the Albanian mob and some problems in their own police division.,['title ends with period'],Jan Verheyen,"['Carl Joos', 'Erik Van Looy', 'Koen De Bouw', 'Werner De Smedt', 'Blerim Destani']",Jef Geeraerts,/title/tt1286784/
Tiger,"['Action', 'Drama', 'Thriller']",The film deals with how a teacher along with his students fight corruption.,['fight'],Swapan Saha,"['Mithun Chakraborty', 'Rajatabha Dutta', 'Dulal Lahiri', 'Swapan Saha', 'Swapan Saha']",Swapan Saha,/title/tt5465496/
Lyco,"['Action', 'Horror', 'Thriller']",Lyco is a action horror film about a voodoo priest named Lyco Fontaine (Macquell James) who is in search for an ancient Relic that has been around for centuries called the Port of Spain elephant. It is said thought the elephant statue has special powers and if Fallen into the wro... Read all,[],Franklin Correa,"['Lester Greene', 'Samantha Rivers Cole', 'Greta Quispe', 'Franklin Correa', 'Franklin Correa']",Franklin Correa,/title/tt5466826/
Paanch Papi,['Action'],"Raja is a big time thief mostly in and out of jail he along with his friends Inder,Bheema and Chusli plans robbery at first they disagree as Raja always ditches them.They all succeed in the robbery but the cops arrive and arrest Inder,Bheema and Chusli while Raja feels pity on wi... Read all",[],Shibu Mitra,"['Ranjeet Bedi', 'Hemant Birje', 'Prem Chopra', 'Shibu Mitra', 'Faiz Saleem']",Faiz Saleem,/title/tt0243470/
Major Saab,"['Action', 'Drama', 'Romance']",An Army Major decides to tame a persistent rule breaker who is bent on being discharged. However the trainee changes his plan when he falls in love and needs the Major's help in rescuing his beau.,"['major', 'training', 'army', 'cadet', 'courage', 'resilience', 'person in a car trunk', 'reckless driving', 'beating', 'husband wife relationship']",Tinnu Anand,"['Santosh Saroj', 'Amitabh Bachchan', 'Ajay Devgn', 'Sonali Bendre', 'Tinnu Anand']",Robin Bhatt,/title/tt0172761/
Programmed to Kill,"['Action', 'Sci-Fi']","A middle eastern female terrorist is captured by the CIA in Greece, after an attack on a marketplace. Transported back to the USA, the terrorist undergoes an operation where she is transformed into a cybernetic killing machine. Now the CIA have a secret weapon to send back to the... Read all","['killing machine', 'cyborg', 'cia central intelligence agency', 'girls with guns', 'cyborg sci fi', 'crete', 'robot', 'nudity', 'death', 'assassination']",Allan Holzman,"['Robert Short', 'Robert Ginty', 'Sandahl Bergman', 'James Booth', 'Allan Holzman']",Robert Short,/title/tt0093790/
Iyobinte Pusthakam,"['Action', 'Adventure', 'Drama']","Set in the pre-independent India, Aloshi returns from the war to his estranged family and childhood love, only to find his elder brothers taking the side of a ruthless business man to overthrow their father.",['business'],Amal Neerad,"['Syam Pushkaran', 'Fahadh Faasil', 'Jayasurya', 'Lal', 'Amal Neerad']",Gopan Chidambaran,/title/tt4186118/
Naam Shabana,"['Action', 'Drama', 'Thriller']","This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.","['action thriller', 'secret agent']",Shivam Nair,"['Rajshri Sudhakar', 'Taapsee Pannu', 'Akshay Kumar', 'Manoj Bajpayee', 'Shivam Nair']",Neeraj Pandey,/title/tt6170954/
Abang Long Fadil 3,"['Action', 'Comedy']",,[],Syafiq Yusof,"['Hairul Azreen', 'Khir Rahman', 'Syafiq Yusof', 'Zizan Razak', 'Hairul Azreen']",Zizan Razak,/title/tt13199494/
Ba da men pai,"['Action', 'Adventure']","Rescued from his house as a child and sent to the Shaolin Temple, Chu Shiao Chieh learns the martial arts and the virtues of patience and mercy. Upon reaching manhood, Chu sets out to reunite with his blind mother and cousin. His refusal to involve himself in fighting injustices ... Read all",[],Joseph Kuo,"['Joseph Kuo', 'Carter Wong', 'Chun-Erh Lung', 'Fei-Lung Huang', 'Joseph Kuo']",Ming Chien Hsu,/title/tt0165749/
Ek: The Power of One,"['Action', 'Drama', 'Thriller']","A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.","['child uses a gun', 'child with a gun', 'betrayal by a friend', 'cbi', 'murder', 'punjab', 'speech', 'professional assassin', 'hired killer', 'explosion']",Sangeeth Sivan,"['Sameer Arora', 'Vivek Buddhakoti', 'Bobby Deol', 'Shriya Saran', 'Kulbhushan Kharbanda']",Shabbir Ahmed,/title/tt1454461/
Hangga't may hininga,"['Action', 'Drama']",,"['color in title', 'apostrophe in title', 'three word title', 'punctuation in title', 'contraction in title', 'mall', 'policeman', 'gang war', 'shot in the head', 'revolver']",Toto Natividad,"['Ricardo Lee', ""Humilde 'Meek' Roxas"", 'Phillip Salvador', 'Anjanette Abayari', 'Jackie Lou Blanco']",Michael De Mesa,/title/tt0335140/
Maharaja Gemunu,"['Action', 'Adventure', 'History']","Dutugamunu also known as Dutthagamani and Gamani Abhaya (""fearless Gamini""), was a Sinhalese king of Sri Lanka who reigned from 161 BC to 137 BC. He is renowned for defeating and overthrowing Elara, the usurping Tamil prince from the Chola Kingdom, who had invaded the Kingdom of ... Read all",['2nd century b.c.'],Jayantha Chandrasiri,"['Uddika Premarathna', 'Jackson Anthony', 'Kusum Renu', 'Jayantha Chandrasiri', 'Jayantha Chandrasiri']",Jayantha Chandrasiri,/title/tt3471472/
